new_cases,Date,Week,Weekly_new_infections
1,25-Jan-20,1    ,3
0,01-Feb-20,2    ,0
0,08-Feb-20,3    ,0
1,15-Feb-20,4    ,0
1,22-Feb-20,5    ,25
0,29-Feb-20,6    ,34
0,07-Mar-20,7    ,94
0,14-Mar-20,8    ,501
0,21-Mar-20,9    ,1341
0,28-Mar-20,10    ,3918
0,04-Apr-20,11    ,6406
0,11-Apr-20,12    ,9048
0,18-Apr-20,13    ,11692
0,25-Apr-20,14    ,19925
0,02-May-20,15    ,25068
0,09-May-20,16    ,33973
0,16-May-20,17    ,46058
0,23-May-20,18    ,58738
0,30-May-20,19    ,69781
0,06-Jun-20,20    ,80341
0,13-Jun-20,21    ,106159
0,20-Jun-20,22    ,131536
0,27-Jun-20,23    ,162655
0,04-Jul-20,24    ,201561
0,11-Jul-20,25    ,269941
0,18-Jul-20,26    ,343165
0,25-Jul-20,27    ,382573
0,01-Aug-20,28    ,432101
0,08-Aug-20,29    ,440288
0,15-Aug-20,30    ,473309
0,22-Aug-20,31    ,543172
0,29-Aug-20,32    ,612457
2,05-Sep-20,33    ,652390
0,12-Sep-20,34    ,614265
23,19-Sep-20,35    ,580066
2,26-Sep-20,36    ,523071
1,03-Oct-20,37    ,471442
3,10-Oct-20,38    ,399849
5,17-Oct-20,39    ,333257
4,24-Oct-20,40    ,323883
13,31-Oct-20,41    ,319830
6,07-Nov-20,42    ,274567
11,14-Nov-20,43    ,308222
9,21-Nov-20,44    ,268259
20,28-Nov-20,45    ,232407
11,05-Dec-20,46    ,189186
6,12-Dec-20,47    ,167221
23,19-Dec-20,48    ,142896
14,26-Dec-20,49    ,128604
38,02-Jan-21,50    ,116815
50,09-Jan-21,51    ,98790
86,16-Jan-21,52    ,90310
66,23-Jan-21,53    ,88990
103,30-Jan-21,54    ,81111
37,06-Feb-21,55    ,78907
121,13-Feb-21,56    ,96713
70,20-Feb-21,57    ,110009
160,27-Feb-21,58    ,128638
100,06-Mar-21,59    ,189044
37,13-Mar-21,60    ,312929
227,20-Mar-21,61    ,434131
146,27-Mar-21,62    ,706909
601,03-Apr-21,63    ,1145990
545,10-Apr-21,64    ,1856210
24,17-Apr-21,65    ,2445647
515,24-Apr-21,66    ,2700989
506,01-May-21,67    ,2626255
1190,08-May-21,68    ,2068775
533,15-May-21,69    ,1596653
605,22-May-21,70    ,186364
809,,,
873,,,
848,,,
759,,,
1248,,,
1034,,,
835,,,
1108,,,
922,,,
1370,,,
1893,,,
924,,,
1541,,,
1290,,,
1707,,,
1453,,,
1753,,,
1607,,,
1561,,,
1873,,,
1738,,,
1801,,,
2394,,,
2442,,,
2806,,,
3932,,,
2963,,,
3587,,,
3364,,,
3344,,,
3113,,,
4353,,,
3607,,,
3524,,,
3763,,,
3942,,,
3787,,,
4864,,,
5050,,,
4630,,,
6147,,,
5553,,,
6198,,,
6568,,,
6629,,,
7113,,,
6414,,,
5843,,,
7293,,,
7300,,,
8105,,,
8336,,,
8782,,,
7761,,,
8821,,,
9633,,,
9889,,,
9471,,,
10438,,,
10864,,,
8442,,,
10218,,,
10459,,,
10930,,,
11458,,,
11929,,,
11502,,,
10667,,,
10974,,,
12881,,,
13586,,,
14516,,,
15403,,,
14831,,,
14933,,,
15968,,,
16922,,,
17296,,,
18552,,,
19906,,,
19459,,,
18522,,,
18641,,,
19160,,,
20903,,,
22771,,,
24850,,,
24248,,,
22251,,,
22753,,,
24879,,,
26506,,,
27114,,,
28606,,,
28732,,,
28498,,,
29429,,,
32676,,,
34975,,,
35252,,,
38697,,,
40425,,,
37132,,,
37740,,,
45720,,,
49310,,,
48916,,,
48611,,,
49981,,,
44457,,,
51596,,,
50294,,,
52783,,,
61242,,,
54735,,,
52972,,,
52050,,,
52509,,,
56282,,,
62538,,,
61537,,,
64399,,,
62064,,,
53601,,,
60963,,,
66999,,,
64553,,,
64732,,,
64030,,,
57711,,,
55018,,,
64572,,,
69672,,,
68900,,,
69876,,,
69239,,,
61408,,,
60975,,,
57224,,,
85687,,,
77266,,,
76472,,,
78761,,,
78512,,,
69921,,,
78357,,,
83883,,,
83341,,,
86432,,,
90632,,,
90802,,,
75809,,,
89706,,,
95735,,,
96551,,,
97570,,,
94372,,,
92071,,,
83809,,,
90123,,,
97894,,,
96424,,,
93337,,,
92605,,,
86961,,,
75083,,,
83347,,,
86508,,,
86052,,,
85362,,,
88600,,,
82170,,,
70589,,,
80472,,,
86821,,,
81484,,,
79476,,,
75829,,,
74442,,,
61267,,,
72049,,,
78524,,,
70496,,,
73272,,,
74383,,,
66732,,,
55342,,,
63509,,,
67708,,,
63371,,,
62212,,,
61871,,,
55722,,,
46790,,,
54044,,,
55839,,,
54366,,,
53370,,,
50129,,,
45148,,,
36470,,,
43893,,,
49881,,,
48648,,,
48268,,,
46963,,,
45231,,,
38310,,,
46253,,,
50210,,,
47638,,,
50356,,,
45674,,,
45903,,,
38073,,,
44281,,,
47905,,,
44879,,,
44684,,,
41100,,,
30548,,,
29163,,,
38617,,,
45576,,,
45882,,,
46232,,,
45209,,,
44059,,,
37975,,,
44376,,,
44489,,,
43082,,,
41322,,,
41810,,,
38772,,,
31118,,,
36604,,,
35551,,,
36595,,,
36652,,,
36011,,,
32981,,,
26567,,,
32080,,,
31521,,,
29373,,,
30031,,,
30254,,,
27071,,,
22065,,,
26382,,,
24010,,,
22890,,,
25152,,,
26624,,,
24337,,,
19556,,,
23950,,,
24712,,,
23067,,,
22273,,,
18732,,,
20021,,,
16432,,,
20549,,,
21822,,,
0,,,
20035,,,
37256,,,
16504,,,
16375,,,
18088,,,
20346,,,
18139,,,
0,,,
36867,,,
16311,,,
12584,,,
15968,,,
16946,,,
15590,,,
15158,,,
15144,,,
13788,,,
10050,,,
13816,,,
15244,,,
14545,,,
14256,,,
14849,,,
13203,,,
9102,,,
12689,,,
11666,,,
18855,,,
13082,,,
13044,,,
11436,,,
8635,,,
11039,,,
12899,,,
12408,,,
11713,,,
12059,,,
11831,,,
9110,,,
11067,,,
12923,,,
9309,,,
12143,,,
12194,,,
11649,,,
9121,,,
11610,,,
12881,,,
13193,,,
